,DC_Healthy,DC_Severe,Epithelial_2_Healthy,Epithelial_2_Severe
MRPL42,4.72019722,5.081761692,5.391609152,NaN
SMU1,4.669516008,4.776560353,5.392822858,5.555307493
HNRNPUL2,3.988129248,4.031798969,5.392930611,NaN
DIS3,4.547600724,4.626221978,5.393229939,NaN
CDC27,4.07231593,4.789457258,5.393232061,5.996702856
DIDO1,4.004811914,4.646265564,5.393696672,NaN
TNPO2,3.141207528,NaN,5.396481772,NaN
ERCC6L2,4.336430579,4.47166107,5.396696102,5.996702856
PGRMC1,3.847971166,3.797731828,5.396737443,NaN
PLXNA3,NaN,NaN,5.397769624,NaN
PTTG1IP,7.272902685,7.340697702,5.398591346,NaN
E2F4,5.625821552,3.962116984,5.399072558,5.555307493
POLR2F,5.195839984,4.677339821,5.399791177,NaN
DNAJC10,5.590570478,4.621312429,5.399809927,7.448993592
MRPL43,5.144871994,5.866798293,5.399842334,4.073004706
DDX55,2.984769387,4.233840443,5.399890887,NaN
HSD17B4,5.24685159,4.781957723,5.400294752,5.555307493
MYADM,8.566512171,8.42678751,5.400338892,4.073004706
LCORL,5.367709484,4.753971295,5.400744568,NaN
PDS5B,4.223462357,4.386520131,5.400964073,NaN
PICALM,6.498910442,6.384052466,5.401492896,NaN
C15orf61,2.727458999,3.244139632,5.402034422,5.555307493
NDUFB6,5.180321648,4.957081435,5.402760849,5.555307493
PCNA,2.997914715,4.975369986,5.403576687,NaN
CCNT2,5.187827439,4.401538536,5.403776621,NaN
SETD4,2.59405673,NaN,5.404295775,NaN
EHMT2,3.601871545,4.048786835,5.404415694,5.996702856
MBP,7.801554566,7.546644878,5.404721794,4.073004706
COMMD1,5.162853663,5.225642836,5.404738849,4.073004706
WDR12,4.006606378,3.647792452,5.404762335,5.555307493
BLMH,3.867806782,NaN,5.404887614,NaN
CDK6,5.266500948,4.683277445,5.404904395,5.555307493
PCYT1A,4.468948765,4.457113171,5.405138799,NaN
TGFBR1,NaN,3.157443125,5.405176714,NaN
GNPAT,4.127689237,4.189080542,5.40527996,NaN
AL354836.1,NaN,NaN,5.405528447,NaN
TRIM27,3.97779015,3.282281151,5.405682266,5.555307493
ZNF276,3.814925783,NaN,5.405702353,NaN
