	source	source_genesymbol
875	Q17RW2	COL24A1
876	Q1L6U9	MSMP
877	Q2I0M5	RSPO4
878	Q2MKA7	RSPO1
879	Q2UY09	COL28A1
880	Q2WEN9	CEACAM16
881	Q4G0M1	ERFE
882	Q5H8A3	NMS
883	Q5JU69	TOR2A
884	Q5JXA9	SIRPB2
885	Q5SRR4	LY6G5C
886	Q5T4F7	SFRP5
887	Q5T4W7	ARTN
888	Q6EBC2	IL31
889	Q6FHJ7	SFRP4
890	Q6ISS4	LAIR2
891	Q6KF10	GDF6
892	Q6UW32	IGFL1
893	Q6UWK7	GPR15L
894	Q6UWQ7	IGFL2
895	Q6UWT2	ENHO
896	Q6UX27	VSTM1
897	Q6UX46	ALKAL2
898	Q6UXA7	C6orf15
899	Q6UXB1	IGFL3
900	Q6UXB2	CXCL17
901	Q6UXB8	PI16
902	Q6UXI9	NPNT
903	Q6UXN2	TREML4
904	Q6UXT8	ALKAL1
905	Q6UXX9	RSPO2
906	Q6UY18	LINGO4
907	Q6WRI0	IGSF10
908	Q6X4U4	SOSTDC1
909	Q6X784	ZPBP2
910	Q6ZMJ4	IL34
911	Q765I0	UTS2B
912	Q7Z4H4	ADM2
913	Q7Z4P5	GDF7
914	Q7Z5Y6	BMP8A
915	Q86UU9	TAC4
916	Q86WN2	IFNE
917	Q86XS5	ANGPTL5
918	Q86YW7	GPHB5
919	Q8IU54	IFNL1
920	Q8IVG9	MT-RNR2
921	Q8IWL2	SFTPA1
922	Q8IZC6	COL27A1
923	Q8IZD2	KMT2E
924	Q8IZI9	IFNL3
925	Q8IZJ0	IFNL2
926	Q8N0V4	LGI2
927	Q8N104	DEFB106B
928	Q8N135	LGI4
929	Q8N145	LGI3
930	Q8N2E6	TOR2A
931	Q8N475	FSTL5
932	Q8N6C5	IGSF1
933	Q8N729	NPW
934	Q8N907	DAND5
935	Q8NAU1	FNDC5
936	Q8NBI3	DRAXIN
937	Q8NBP7	PCSK9
938	Q8NEV9	IL27
939	Q8NFW1	COL22A1
940	Q8NG41	NPB
941	Q8NHL6	LILRB1
942	Q8NHW4	CCL4L1
943	Q8NI99	ANGPTL6
944	Q8TEU8	WFIKKN2
945	Q8WTQ1	DEFB104A
946	Q8WWZ1	IL1F10
947	Q8WX77	IGFBPL1
948	Q8WXF3	RLN3
949	Q92520	FAM3C
950	Q92583	CCL17
951	Q92673	SORL1
952	Q92765	FRZB
953	Q92913	FGF13
954	Q92914	FGF11
955	Q92915	FGF14
956	Q92954	PRG4
957	Q93038	TNFRSF25
958	Q93097	WNT2B
959	Q93098	WNT8B
960	Q969D9	TSLP
961	Q969E1	LEAP2
962	Q969E3	UCN3
963	Q96A83	COL26A1
964	Q96A98	PTH2
965	Q96BQ1	FAM3D
966	Q96DN2	VWCE
967	Q96F46	IL17RA
968	Q96FE7	PIK3IP1
969	Q96GW7	BCAN
970	Q96HF1	SFRP2
971	Q96JA1	LRIG1
