Membrane proteins UniProt Membrane proteins Gene symbol
P01222 TSHB
P01225 FSHB
P01229 LHB
P01236 PRL
P01241 GH1
P01242 GH2
P01258 CALCA
P01266 TG
P01270 PTH
P01275 GCG
P01282 VIP
P01286 GHRH
P01298 PPY
P01303 NPY
P01308 INS
P01344 IGF2
P01350 GAST
P01562 IFNA1
P01563 IFNA2
P01566 IFNA10
P01567 IFNA7
P01568 IFNA21
P01569 IFNA5
P01570 IFNA14
P01571 IFNA17
P01574 IFNB1
P01579 IFNG
P01583 IL1A
P01584 IL1B
P01588 EPO
P02652 APOA2
P02655 APOC2
P02656 APOC3
P02763 ORM1
P02766 TTR
P02774 GC
P02775 PPBP
P02776 PF4
P02778 CXCL10
P02790 HPX
P03971 AMH
P04085 PDGFA
P04090 RLN2
P04114 APOB
P04141 CSF2
P04155 TFF1
P04271 S100B
P04808 RLN1
P05000 IFNW1
P05013 IFNA6
P05014 IFNA4
P05015 IFNA16
P05019 IGF1
P05090 APOD
P05109 S100A8
P05111 INHA
P05112 IL4
P05113 IL5
P05230 FGF1
P05231 IL6
P05305 EDN1
P05538 HLA-DQB2
P06307 CCK
P06702 S100A9
P06727 APOA4
P06850 CRH
P06881 CALCA
P07492 GRP
P08118 MSMB
P08476 INHBA
P08620 FGF4
P08700 IL3
P08949 NMB
P09038 FGF2
P09341 CXCL1
P09529 INHBB
P09681 GIP
P09683 SCT
P09919 CSF3
P0C0L5 C4B_2
P0C0P6 NPS
P0DJI8 SAA1
P0DMC3 APELA
P0DML2 CSH1
P0DML3 CSH2
P0DN86 CGB8
P0DN87 CGB7
P0DP57 SLURP2
P10082 PYY
P10092 CALCB
P10145 CXCL8
P10147 CCL3
P10720 PF4V1
P10767 FGF6
P10966 CD8B
P10997 IAPP
P11487 FGF3
P11684 SCGB1A1
P12004 PCNA
P12034 FGF5
P12272 PTHLH
P12273 PIP
P12544 GZMA
P12643 BMP2
P12645 BMP3
P12872 MLN
P13232 IL7
P13236 CCL4
P13500 CCL2
P13501 CCL5
P13725 OSM
P13987 CD59
P14138 EDN3
P14174 MIF
